platform_label,measurement_label,process
ORCA_Twanoh,H1_PhotActiveRad,FALSE
ORCA_Twanoh,H1_Salinity,TRUE
ORCA_Twanoh,H1_WaterDens,FALSE
ORCA_Twanoh,H1_WaterTemp,TRUE
OSU_CB06,A1_AirTemp,TRUE
OSU_CB06,A1_BarPress,TRUE
OSU_CB06,A1_CO2Air,FALSE
OSU_CB06,A1_SolarRad,FALSE
OSU_CB06,A1_WindDir,FALSE
OSU_CB06,A1_WindSpeed,FALSE
OSU_CB06,H1_CO2,TRUE
OSU_CB06,H1_pH,TRUE
OSU_CB06,H1_Salinity,TRUE
OSU_CB06,H1_WaterTemp,TRUE
OSU_CB06,H2_Conductiv,FALSE
OSU_NH10,A1_AirTemp,TRUE
OSU_NH10,A1_BarPress,TRUE
OSU_NH10,A1_SolarRad,FALSE
OSU_NH10,A1_WindDir,FALSE
OSU_NH10,A1_WindSpeed,FALSE
OSU_NH10,H1_Pressure,TRUE
OSU_NH10,H1_Salinity,TRUE
OSU_NH10,H1_WaterTemp,TRUE
OSU_NH10,H2_Conductiv,FALSE
PMELCO2_coastalla,A1_CO2Air,FALSE
PMELCO2_coastalla,H1_CO2,FALSE
PMELCO2_coastalla,H1_pH,FALSE
PMELCO2_coastalla,H1_Salinity,FALSE
PMELCO2_coastalla,H1_WaterTemp,FALSE
PMELCO2_155w0,A1_CO2Air,FALSE
PMELCO2_155w0,H1_CO2,FALSE
PMELCO2_155w0,H1_Salinity,FALSE
PMELCO2_155w0,H1_WaterTemp,FALSE
PMELCO2_165e0,A1_CO2Air,FALSE
PMELCO2_165e0,H1_CO2,FALSE
PMELCO2_165e0,H1_pH,FALSE
PMELCO2_165e0,H1_Salinity,FALSE
PMELCO2_165e0,H1_WaterTemp,FALSE
PMELCO2_165e8s,A1_CO2Air,FALSE
PMELCO2_165e8s,H1_CO2,FALSE
PMELCO2_165e8s,H1_Salinity,FALSE
PMELCO2_165e8s,H1_WaterTemp,FALSE
PMELCO2_170w,A1_CO2Air,FALSE
PMELCO2_170w,H1_CO2,FALSE
PMELCO2_170w,H1_Salinity,FALSE
PMELCO2_170w,H1_WaterTemp,FALSE
PMELCO2_HogReef,A1_CO2Air,FALSE
PMELCO2_HogReef,H1_CO2,FALSE
PMELCO2_HogReef,H1_Salinity,FALSE
PMELCO2_HogReef,H1_WaterTemp,FALSE
PMELCO2_alawai,A1_CO2Air,FALSE
PMELCO2_alawai,H1_CO2,TRUE
PMELCO2_alawai,H1_Salinity,TRUE
PMELCO2_alawai,H1_WaterTemp,TRUE
PMELCO2_cce1,A1_CO2Air,FALSE
PMELCO2_cce1,H1_CO2,TRUE
PMELCO2_cce1,H1_pH,TRUE
PMELCO2_cce1,H1_Salinity,TRUE
PMELCO2_cce1,H1_WaterTemp,TRUE
PMELCO2_cce2,A1_CO2Air,FALSE
PMELCO2_cce2,H1_CO2,TRUE
PMELCO2_cce2,H1_pH,TRUE
PMELCO2_cce2,H1_Salinity,TRUE
PMELCO2_cce2,H1_WaterTemp,TRUE
PMELCO2_cheeca,A1_CO2Air,FALSE
PMELCO2_cheeca,H1_CO2,FALSE
PMELCO2_cheeca,H1_pH,FALSE
PMELCO2_cheeca,H1_Salinity,FALSE
PMELCO2_cheeca,H1_WaterTemp,FALSE
PMELCO2_chuukk1,A1_CO2Air,FALSE
PMELCO2_chuukk1,H1_CO2,FALSE
PMELCO2_chuukk1,H1_pH,FALSE
PMELCO2_chuukk1,H1_Salinity,FALSE
PMELCO2_chuukk1,H1_WaterTemp,FALSE
PMELCO2_coastalms,A1_CO2Air,FALSE
PMELCO2_coastalms,H1_CO2,FALSE
PMELCO2_coastalms,H1_pH,FALSE
PMELCO2_coastalms,H1_Salinity,FALSE
PMELCO2_coastalms,H1_WaterTemp,FALSE
PMELCO2_crescent,A1_CO2Air,FALSE
PMELCO2_crescent,H1_CO2,FALSE
PMELCO2_crescent,H1_Salinity,FALSE
PMELCO2_crescent,H1_WaterTemp,FALSE
PMELCO2_crimp,A1_CO2Air,FALSE
PMELCO2_crimp,H1_CO2,TRUE
PMELCO2_crimp,H1_pH,TRUE
PMELCO2_crimp,H1_Salinity,TRUE
PMELCO2_crimp,H1_WaterTemp,TRUE
PMELCO2_firstlanding,A1_CO2Air,FALSE
PMELCO2_firstlanding,H1_CO2,FALSE
PMELCO2_firstlanding,H1_pH,FALSE
PMELCO2_firstlanding,H1_Salinity,FALSE
PMELCO2_firstlanding,H1_WaterTemp,FALSE
PMELCO2_gakoa,A1_CO2Air,FALSE
PMELCO2_gakoa,H1_CO2,FALSE
PMELCO2_gakoa,H1_pH,FALSE
PMELCO2_gakoa,H1_Salinity,FALSE
PMELCO2_gakoa,H1_WaterTemp,FALSE
PMELCO2_kaneohe,A1_CO2Air,FALSE
PMELCO2_kaneohe,H1_CO2,TRUE
PMELCO2_kaneohe,H1_pH,TRUE
PMELCO2_kaneohe,H1_Salinity,TRUE
PMELCO2_kaneohe,H1_WaterTemp,TRUE
PMELCO2_kilonalu,A1_CO2Air,FALSE
PMELCO2_kilonalu,H1_CO2,TRUE
PMELCO2_kilonalu,H1_Salinity,TRUE
PMELCO2_kilonalu,H1_WaterTemp,TRUE
PMELCO2_kodiak,A1_CO2Air,FALSE
PMELCO2_kodiak,H1_CO2,FALSE
PMELCO2_kodiak,H1_pH,FALSE
PMELCO2_kodiak,H1_Salinity,FALSE
PMELCO2_kodiak,H1_WaterTemp,FALSE
PMELCO2_laparguera,A1_CO2Air,FALSE
PMELCO2_laparguera,H1_CO2,FALSE
PMELCO2_laparguera,H1_pH,FALSE
PMELCO2_laparguera,H1_Salinity,FALSE
PMELCO2_laparguera,H1_WaterTemp,FALSE
PMELCO2_m2,A1_CO2Air,FALSE
PMELCO2_m2,H1_CO2,FALSE
PMELCO2_m2,H1_pH,FALSE
PMELCO2_m2,H1_Salinity,FALSE
PMELCO2_m2,H1_WaterTemp,FALSE
PMELCO2_ndbcga,A1_CO2Air,FALSE
PMELCO2_ndbcga,H1_CO2,FALSE
PMELCO2_ndbcga,H1_pH,FALSE
PMELCO2_ndbcga,H1_Salinity,FALSE
PMELCO2_ndbcga,H1_WaterTemp,FALSE
PMELCO2_nh,A1_CO2Air,FALSE
PMELCO2_nh,H1_CO2,FALSE
PMELCO2_nh,H1_pH,FALSE
PMELCO2_nh,H1_Salinity,FALSE
PMELCO2_nh,H1_WaterTemp,FALSE
PMELCO2_papa,A1_CO2Air,FALSE
PMELCO2_papa,H1_CO2,FALSE
PMELCO2_papa,H1_pH,FALSE
PMELCO2_papa,H1_Salinity,FALSE
PMELCO2_papa,H1_WaterTemp,FALSE
PMELCO2_seak,A1_CO2Air,FALSE
PMELCO2_seak,H1_CO2,FALSE
PMELCO2_seak,H1_pH,FALSE
PMELCO2_seak,H1_Salinity,FALSE
PMELCO2_seak,H1_WaterTemp,FALSE
PMELCO2_whots,A1_CO2Air,FALSE
PMELCO2_whots,H1_CO2,TRUE
PMELCO2_whots,H1_pH,TRUE
PMELCO2_whots,H1_Salinity,TRUE
PMELCO2_whots,H1_WaterTemp,TRUE
PSI_Baycenter,H1_AlkalinityTot,TRUE
PSI_Baycenter,H1_OmegaAragSat,FALSE
PSI_Baycenter,H1_Oxygen,TRUE
PSI_Baycenter,H1_OxygenSat,TRUE
PSI_Baycenter,H1_pH,TRUE
PSI_Baycenter,H1_Salinity,TRUE
PSI_Baycenter,H1_TCO2,TRUE
PSI_Baycenter,H1_WaterTemp,TRUE
PSI_Baycenter,H2_CO2,TRUE
PSI_Baycenter,H2_Conductiv,FALSE
PCS_Penncove1,H1_Chlorophyll,FALSE
PCS_Penncove1,H1_Conductiv,FALSE
PCS_Penncove1,H1_Oxygen,TRUE
PCS_Penncove1,H1_OxygenSat,TRUE
PCS_Penncove1,H1_pH,TRUE
PCS_Penncove1,H1_Salinity,TRUE
PCS_Penncove1,H1_WaterTemp,TRUE
CARLSBD_Aquafarm1,H1_AlkalinityTot,TRUE
CARLSBD_Aquafarm1,H1_OmegaAragSat,FALSE
CARLSBD_Aquafarm1,H1_OxygenSat,TRUE
CARLSBD_Aquafarm1,H1_pH,TRUE
CARLSBD_Aquafarm1,H1_Pressure,TRUE
CARLSBD_Aquafarm1,H1_Salinity,TRUE
CARLSBD_Aquafarm1,H1_TCO2,TRUE
CARLSBD_Aquafarm1,H1_WaterTemp,TRUE
CARLSBD_Aquafarm1,H2_CO2,TRUE
CARLSBD_Aquafarm1,H4_Oxygen,TRUE
KC_SEAQYSI,A1_AirTemp,TRUE
KC_SEAQYSI,A1_BarPress,TRUE
KC_SEAQYSI,A1_PhotActiveRad,FALSE
KC_SEAQYSI,A1_RelHumidity,FALSE
KC_SEAQYSI,A1_WindDir,FALSE
KC_SEAQYSI,A1_WindSpeed,FALSE
KC_SEAQYSI,A2_Rain,FALSE
KC_SEAQYSI,H1_Chlorophyll,FALSE
KC_SEAQYSI,H1_CO2,TRUE
KC_SEAQYSI,H1_Oxygen,TRUE
KC_SEAQYSI,H1_OxygenSat,TRUE
KC_SEAQYSI,H1_pH,TRUE
KC_SEAQYSI,H1_Salinity,TRUE
KC_SEAQYSI,H1_Turbidity,FALSE
KC_SEAQYSI,H1_WaterTemp,TRUE
STA_Sitka1,H1_AlkalinityTot,FALSE
