,datetime,latitude,longitude,station_id,depth,parameter,value,quality,unit,instrument,method,depth_unit
73,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
74,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH,7.66,1,pH,YSI 6600v2,,m
75,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_external,7.5233,1,pH,YSI 6600v2,,m
76,2022-02-27T01:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_internal,7.5079,1,pH,YSI 6600v2,,m
77,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,,2.4,1,microg/L,YSI 6600v2,,m
78,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,conductivity,52.13,1,mS/cm,YSI 6600v2,,m
79,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_concentration,9.41,1,mg/L,YSI 6600v2,,m
80,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_saturation,101.1,1,%,YSI 6600v2,,m
81,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,salinity,34.0,1,PSU,YSI 6600v2,,m
82,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_pressure,1.18,1,decibars,YSI 6600v2,,m
83,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.87,1,C,YSI 6600v2,,m
84,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
85,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH,7.67,1,pH,YSI 6600v2,,m
86,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_external,7.5224,1,pH,YSI 6600v2,,m
87,2022-02-27T01:45:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_internal,7.5072,1,pH,YSI 6600v2,,m
88,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,,3.3,1,microg/L,YSI 6600v2,,m
89,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,conductivity,52.13,1,mS/cm,YSI 6600v2,,m
90,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_concentration,9.21,1,mg/L,YSI 6600v2,,m
91,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_saturation,98.9,1,%,YSI 6600v2,,m
92,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,salinity,34.0,1,PSU,YSI 6600v2,,m
93,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_pressure,1.24,1,decibars,YSI 6600v2,,m
94,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.87,1,C,YSI 6600v2,,m
95,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
96,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH,7.66,1,pH,YSI 6600v2,,m
97,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_external,7.5235,1,pH,YSI 6600v2,,m
98,2022-02-27T02:00:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_internal,7.5085,1,pH,YSI 6600v2,,m
99,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,,2.9,1,microg/L,YSI 6600v2,,m
100,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,conductivity,52.12,1,mS/cm,YSI 6600v2,,m
101,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_concentration,9.34,1,mg/L,YSI 6600v2,,m
102,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_saturation,100.3,1,%,YSI 6600v2,,m
103,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,salinity,33.99,1,PSU,YSI 6600v2,,m
104,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_pressure,1.22,1,decibars,YSI 6600v2,,m
105,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.87,1,C,YSI 6600v2,,m
106,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
107,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH,7.67,1,pH,YSI 6600v2,,m
108,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_external,7.5222,1,pH,YSI 6600v2,,m
109,2022-02-27T02:15:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,pH_internal,7.5069,1,pH,YSI 6600v2,,m
110,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,,1.9,1,microg/L,YSI 6600v2,,m
111,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,conductivity,52.12,1,mS/cm,YSI 6600v2,,m
112,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_concentration,9.31,1,mg/L,YSI 6600v2,,m
113,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,oxygen_saturation,99.9,1,%,YSI 6600v2,,m
114,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,salinity,33.99,1,PSU,YSI 6600v2,,m
115,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_pressure,1.36,1,decibars,YSI 6600v2,,m
116,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,water_temperature,8.87,1,C,YSI 6600v2,,m
117,2022-02-27T02:30:00Z,41.055,-124.14703,edu_humboldt_tdp,0.0,turbidity,9999.9,4,ntu,YSI 6600v2,,m
