,station_id,parameter,unit,instrument,method,equipment_id
258,soschwq,ph,pH,YSI 6600 V2,,
259,soschwq,sal,PSU,,,
260,soschwq,spcond,mS/cm,YSI 6560,,
261,soschwq,do_mgl,mg/L,YSI rapid pulse 6562,,
262,sosvawq,temp,C,YSI 6560,,
263,sosvawq,turb,ntu,YSI 6600 V2 - sensor 6136,,
264,sosvawq,do_pct,%,YSI rapid pulse 6562,,
265,sosvawq,ph,pH,YSI 6600 V2,,
266,sosvawq,sal,PSU,,,
267,sosvawq,spcond,mS/cm,YSI 6560,,
268,sosvawq,do_mgl,mg/L,YSI rapid pulse 6562,,
269,soswiwq,temp,C,YSI 6560,,
270,soswiwq,turb,ntu,YSI 6600 V2 - sensor 6136,,
271,soswiwq,do_pct,%,YSI rapid pulse 6562,,
272,soswiwq,ph,pH,YSI 6600 V2,,
273,soswiwq,sal,PSU,,,
274,soswiwq,spcond,mS/cm,YSI 6560,,
275,soswiwq,do_mgl,mg/L,YSI rapid pulse 6562,,
276,tjroswq,temp,C,YSI 6560,,
277,tjroswq,turb,ntu,YSI 6600 V2 - sensor 6136,,
278,tjroswq,do_pct,%,YSI rapid pulse 6562,,
279,tjroswq,ph,pH,YSI 6600 V2,,
280,tjroswq,sal,PSU,,,
281,tjroswq,spcond,mS/cm,YSI 6560,,
282,tjroswq,do_mgl,mg/L,YSI rapid pulse 6562,,
283,APSH_Seward1,A1_AirTemp,C,,,
284,APSH_Seward1,A1_BarPress,inHg,,,
285,APSH_Seward1,A1_CO2Air,ppm,,,
286,APSH_Seward1,H1_AlkalinityTot,micromol/kg,,,
287,APSH_Seward1,H1_CO2,ppm,,,
288,APSH_Seward1,H1_Chlorophyll,microg/L,,,
289,APSH_Seward1,H1_Conductiv,mS/cm,,,
290,APSH_Seward1,H1_Oxygen,mg/L,,,
291,APSH_Seward1,H1_OxygenSat,%,,,
292,APSH_Seward1,H1_Pressure,decibars,,,
293,APSH_Seward1,H1_Salinity,PSU,,,
294,APSH_Seward1,H1_TCO2,micromol/kg,,,
295,APSH_Seward1,H1_Turbidity,NTU,,,
296,APSH_Seward1,H1_WaterDepth,ft,,,
297,APSH_Seward1,H1_WaterLevel,ft,,,
298,APSH_Seward1,H1_WaterTemp,C,,,
299,APSH_Seward1,H1_WaveHght,ft,,,
300,APSH_Seward1,H2_CO2,microatm,,,
301,APSH_Seward1,H4_Oxygen,micromol/kg,,,
302,APSH_Seward1,H1_pH,pH,,,
303,APL_Chaba,A1_AirTemp,C,,,
304,APL_Chaba,A1_BarPress,inHg,,,
305,APL_Chaba,A1_CO2Air,ppm,,,
306,APL_Chaba,H1_AlkalinityTot,micromol/kg,,,
307,APL_Chaba,H1_CO2,ppm,,,
308,APL_Chaba,H1_Chlorophyll,microg/L,,,
309,APL_Chaba,H1_Conductiv,mS/cm,,,
310,APL_Chaba,H1_Oxygen,mg/L,,,
311,APL_Chaba,H1_OxygenSat,%,,,
312,APL_Chaba,H1_Pressure,decibars,,,
313,APL_Chaba,H1_Salinity,PSU,,,
314,APL_Chaba,H1_TCO2,micromol/kg,,,
315,APL_Chaba,H1_Turbidity,NTU,,,
316,APL_Chaba,H1_WaterDepth,ft,,,
317,APL_Chaba,H1_WaterLevel,ft,,,
318,APL_Chaba,H1_WaterTemp,C,,,
319,APL_Chaba,H1_WaveHght,ft,,,
320,APL_Chaba,H2_CO2,microatm,,,
321,APL_Chaba,H4_Oxygen,micromol/kg,,,
322,APL_Chaba,H1_pH,pH,,,
323,OSU_NOAA_OI,A1_AirTemp,C,,,
324,OSU_NOAA_OI,A1_BarPress,inHg,,,
325,OSU_NOAA_OI,A1_CO2Air,ppm,,,
326,OSU_NOAA_OI,H1_AlkalinityTot,micromol/kg,,,
327,OSU_NOAA_OI,H1_CO2,ppm,,,
328,OSU_NOAA_OI,H1_Chlorophyll,microg/L,,,
329,OSU_NOAA_OI,H1_Conductiv,mS/cm,,,
330,OSU_NOAA_OI,H1_Oxygen,mg/L,,,
331,OSU_NOAA_OI,H1_OxygenSat,%,,,
332,OSU_NOAA_OI,H1_Pressure,decibars,,,
333,OSU_NOAA_OI,H1_Salinity,PSU,,,
334,OSU_NOAA_OI,H1_TCO2,micromol/kg,,,
335,OSU_NOAA_OI,H1_Turbidity,NTU,,,
336,OSU_NOAA_OI,H1_WaterDepth,ft,,,
337,OSU_NOAA_OI,H1_WaterLevel,ft,,,
338,OSU_NOAA_OI,H1_WaterTemp,C,,,
339,OSU_NOAA_OI,H1_WaveHght,ft,,,
340,OSU_NOAA_OI,H2_CO2,microatm,,,
341,OSU_NOAA_OI,H4_Oxygen,micromol/kg,,,
342,OSU_NOAA_OI,H1_pH,pH,,,
343,NDBC_46041,A1_AirTemp,C,,,
344,NDBC_46041,A1_BarPress,inHg,,,
345,NDBC_46041,A1_CO2Air,ppm,,,
346,NDBC_46041,H1_AlkalinityTot,micromol/kg,,,
347,NDBC_46041,H1_CO2,ppm,,,
348,NDBC_46041,H1_Chlorophyll,microg/L,,,
349,NDBC_46041,H1_Conductiv,mS/cm,,,
350,NDBC_46041,H1_Oxygen,mg/L,,,
351,NDBC_46041,H1_OxygenSat,%,,,
352,NDBC_46041,H1_Pressure,decibars,,,
353,NDBC_46041,H1_Salinity,PSU,,,
354,NDBC_46041,H1_TCO2,micromol/kg,,,
355,NDBC_46041,H1_Turbidity,NTU,,,
356,NDBC_46041,H1_WaterDepth,ft,,,
357,NDBC_46041,H1_WaterLevel,ft,,,
358,NDBC_46041,H1_WaterTemp,C,,,
359,NDBC_46041,H1_WaveHght,ft,,,
360,NDBC_46041,H2_CO2,microatm,,,
361,NDBC_46041,H4_Oxygen,micromol/kg,,,
362,NDBC_46041,H1_pH,pH,,,
363,ORCA_Dabobbay,A1_AirTemp,C,,,
364,ORCA_Dabobbay,A1_BarPress,inHg,,,
365,ORCA_Dabobbay,A1_CO2Air,ppm,,,
366,ORCA_Dabobbay,H1_AlkalinityTot,micromol/kg,,,
367,ORCA_Dabobbay,H1_CO2,ppm,,,
368,ORCA_Dabobbay,H1_Chlorophyll,microg/L,,,
369,ORCA_Dabobbay,H1_Conductiv,mS/cm,,,
370,ORCA_Dabobbay,H1_Oxygen,mg/L,,,
371,ORCA_Dabobbay,H1_OxygenSat,%,,,
372,ORCA_Dabobbay,H1_Pressure,decibars,,,
373,ORCA_Dabobbay,H1_Salinity,PSU,,,
374,ORCA_Dabobbay,H1_TCO2,micromol/kg,,,
375,ORCA_Dabobbay,H1_Turbidity,NTU,,,
376,ORCA_Dabobbay,H1_WaterDepth,ft,,,
377,ORCA_Dabobbay,H1_WaterLevel,ft,,,
378,ORCA_Dabobbay,H1_WaterTemp,C,,,
379,ORCA_Dabobbay,H1_WaveHght,ft,,,
380,ORCA_Dabobbay,H2_CO2,microatm,,,
381,ORCA_Dabobbay,H4_Oxygen,micromol/kg,,,
382,ORCA_Dabobbay,H1_pH,pH,,,
383,ORCA_Twanoh,A1_AirTemp,C,,,
384,ORCA_Twanoh,A1_BarPress,inHg,,,
385,ORCA_Twanoh,A1_CO2Air,ppm,,,
386,ORCA_Twanoh,H1_AlkalinityTot,micromol/kg,,,
387,ORCA_Twanoh,H1_CO2,ppm,,,
388,ORCA_Twanoh,H1_Chlorophyll,microg/L,,,
389,ORCA_Twanoh,H1_Conductiv,mS/cm,,,
390,ORCA_Twanoh,H1_Oxygen,mg/L,,,
391,ORCA_Twanoh,H1_OxygenSat,%,,,
392,ORCA_Twanoh,H1_Pressure,decibars,,,
393,ORCA_Twanoh,H1_Salinity,PSU,,,
394,ORCA_Twanoh,H1_TCO2,micromol/kg,,,
395,ORCA_Twanoh,H1_Turbidity,NTU,,,
396,ORCA_Twanoh,H1_WaterDepth,ft,,,
397,ORCA_Twanoh,H1_WaterLevel,ft,,,
398,ORCA_Twanoh,H1_WaterTemp,C,,,
399,ORCA_Twanoh,H1_WaveHght,ft,,,
400,ORCA_Twanoh,H2_CO2,microatm,,,
401,ORCA_Twanoh,H4_Oxygen,micromol/kg,,,
402,ORCA_Twanoh,H1_pH,pH,,,
403,OSU_CB06,A1_AirTemp,C,,,
404,OSU_CB06,A1_BarPress,inHg,,,
405,OSU_CB06,A1_CO2Air,ppm,,,
406,OSU_CB06,H1_AlkalinityTot,micromol/kg,,,
407,OSU_CB06,H1_CO2,ppm,,,
408,OSU_CB06,H1_Chlorophyll,microg/L,,,
409,OSU_CB06,H1_Conductiv,mS/cm,,,
410,OSU_CB06,H1_Oxygen,mg/L,,,
411,OSU_CB06,H1_OxygenSat,%,,,
412,OSU_CB06,H1_Pressure,decibars,,,
