platform_label,measurement_label,measurement_depth,measurement_time,value,units
NERRS_elkapwq,H1_WaterLevel,1.45m,1633298400,4.757218,ft
NERRS_elkapwq,H1_WaterTemp,1.45m,1633298400,77.36,°F
NERRS_elksmwq,H1_Conductiv,0.78m,1633299300,50.4900,mS/cm
NERRS_elksmwq,H1_Oxygen,0.78m,1633299300,8.1000,mg/L
NERRS_elksmwq,H1_OxygenSat,0.78m,1633299300,109.6000,%
NERRS_elksmwq,H1_pH,0.78m,1633299300,8.1000,
NERRS_elksmwq,H1_Salinity,0.78m,1633299300,33.2000,PSU
NERRS_elksmwq,H1_Turbidity,0.78m,1633299300,1.0000,NTU
NERRS_elksmwq,H1_WaterLevel,0.78m,1633299300,2.5590552,ft
NERRS_elksmwq,H1_WaterTemp,0.78m,1633299300,69.08,°F
NERRS_elkvmwq,H1_Conductiv,0.73m,1633299300,50.9300,mS/cm
NERRS_elkvmwq,H1_Oxygen,0.73m,1633299300,6.5000,mg/L
NERRS_elkvmwq,H1_OxygenSat,0.73m,1633299300,81.6000,%
NERRS_elkvmwq,H1_pH,0.73m,1633299300,8.0000,
NERRS_elkvmwq,H1_Salinity,0.73m,1633299300,33.5000,PSU
NERRS_elkvmwq,H1_Turbidity,0.73m,1633299300,5.0000,NTU
NERRS_elkvmwq,H1_WaterLevel,0.73m,1633299300,2.3950132,ft
NERRS_elkvmwq,H1_WaterTemp,0.73m,1633299300,62.24,°F
NERRS_job09wq,H1_Chlorophyll,-nanm,1538406000,12.0000,µg/L
NERRS_job09wq,H1_Conductiv,-0.53m,1617117300,56.4100,mS/cm
NERRS_job09wq,H1_Oxygen,-0.53m,1617117300,5.1000,mg/L
NERRS_job09wq,H1_OxygenSat,-0.53m,1617117300,79.7000,%
NERRS_job09wq,H1_pH,-0.53m,1617117300,8.1000,
NERRS_job09wq,H1_Salinity,-0.53m,1617117300,37.4000,PSU
NERRS_job09wq,H1_Turbidity,-0.53m,1617117300,8.0000,NTU
NERRS_job09wq,H1_WaterDepth,-0.53m,1617117300,1.7388452,ft
NERRS_job09wq,H1_WaterTemp,-0.53m,1617117300,82.04,°F
NERRS_job20wq,H1_Chlorophyll,-0.64m,1498578300,0.8000,µg/L
NERRS_job20wq,H1_Conductiv,-0.65m,1611589500,54.1700,mS/cm
NERRS_job20wq,H1_Oxygen,-0.65m,1611589500,7.7000,mg/L
NERRS_job20wq,H1_OxygenSat,-0.65m,1611589500,118.0000,%
NERRS_job20wq,H1_pH,-0.65m,1611589500,8.0000,
NERRS_job20wq,H1_Salinity,-0.65m,1611589500,35.8000,PSU
NERRS_job20wq,H1_Turbidity,-0.65m,1611589500,2.0000,NTU
NERRS_job20wq,H1_WaterDepth,-0.65m,1611589500,2.132546,ft
NERRS_job20wq,H1_WaterTemp,-0.65m,1611589500,81.32,°F
NERRS_kachdwq,H1_Conductiv,-14.05m,1633299300,47.6800,mS/cm
NERRS_kachdwq,H1_Oxygen,-14.05m,1633299300,8.3000,mg/L
NERRS_kachdwq,H1_OxygenSat,-14.05m,1633299300,88.3000,%
NERRS_kachdwq,H1_pH,-14.05m,1633299300,7.9000,
NERRS_kachdwq,H1_Salinity,-14.05m,1633299300,30.8000,PSU
NERRS_kachdwq,H1_Turbidity,-14.05m,1633299300,3.0000,NTU
NERRS_kachdwq,H1_WaterDepth,-14.05m,1633299300,46.095802,ft
NERRS_kachdwq,H1_WaterTemp,-14.05m,1633299300,48.74,°F
NERRS_kacsdwq,H1_Chlorophyll,-11.32m,1524059100,5.4000,µg/L
NERRS_kacsdwq,H1_Conductiv,-10.25m,1633301100,46.5700,mS/cm
NERRS_kacsdwq,H1_Oxygen,-10.25m,1633301100,8.7000,mg/L
NERRS_kacsdwq,H1_OxygenSat,-10.25m,1633301100,90.7000,%
NERRS_kacsdwq,H1_pH,-10.25m,1633301100,8.0000,
NERRS_kacsdwq,H1_Salinity,-10.25m,1633301100,30.0000,PSU
NERRS_kacsdwq,H1_Turbidity,-10.25m,1633301100,1.0000,NTU
NERRS_kacsdwq,H1_WaterDepth,-10.25m,1633301100,33.62861,ft
NERRS_kacsdwq,H1_WaterTemp,-10.25m,1633301100,47.48,°F
NERRS_pdbbpwq,H1_Conductiv,-3.15m,1633299300,46.1800,mS/cm
NERRS_pdbbpwq,H1_Oxygen,-3.15m,1633299300,8.1000,mg/L
NERRS_pdbbpwq,H1_OxygenSat,-3.15m,1633299300,91.1000,%
NERRS_pdbbpwq,H1_pH,-3.15m,1633299300,7.8000,
NERRS_pdbbpwq,H1_Salinity,-3.15m,1633299300,29.9000,PSU
NERRS_pdbbpwq,H1_Turbidity,-3.15m,1633299300,1.0000,NTU
NERRS_pdbbpwq,H1_WaterDepth,-3.15m,1633299300,10.334646,ft
NERRS_pdbbpwq,H1_WaterTemp,-3.15m,1633299300,53.6,°F
NERRS_pdbbywq,H1_Conductiv,-3.76m,1633301100,46.8000,mS/cm
NERRS_pdbbywq,H1_Oxygen,-3.76m,1633301100,6.1000,mg/L
NERRS_pdbbywq,H1_OxygenSat,-3.76m,1633301100,67.7000,%
NERRS_pdbbywq,H1_pH,-3.76m,1633301100,7.7000,
NERRS_pdbbywq,H1_Salinity,-3.76m,1633301100,30.3000,PSU
NERRS_pdbbywq,H1_Turbidity,-3.76m,1633301100,1.0000,NTU
NERRS_pdbbywq,H1_WaterDepth,-3.76m,1633301100,12.3359584,ft
NERRS_pdbbywq,H1_WaterTemp,-3.76m,1633301100,51.98,°F
NERRS_sfbccwq,H1_Conductiv,-9.18m,1633299300,1310.7100,mS/cm
NERRS_sfbccwq,H1_Oxygen,-9.18m,1633299300,123.3000,mg/L
NERRS_sfbccwq,H1_OxygenSat,-9.18m,1633299300,0.9000,%
NERRS_sfbccwq,H1_pH,-9.18m,1633299300,27.8000,
NERRS_sfbccwq,H1_Salinity,-9.18m,1633299300,40.6000,PSU
NERRS_sfbccwq,H1_Turbidity,-9.18m,1633299300,43.0000,NTU
NERRS_sfbccwq,H1_WaterDepth,-9.18m,1633299300,30.1181112,ft
NERRS_sfbccwq,H1_WaterTemp,-9.18m,1633299300,-146.2,°F
NERRS_sfbfmwq,H1_Chlorophyll,-1.38m,1474302600,65.8000,µg/L
NERRS_sfbfmwq,H1_Conductiv,-7.51m,1613673000,7.8600,mS/cm
NERRS_sfbfmwq,H1_Oxygen,-7.51m,1613673000,5.8000,mg/L
NERRS_sfbfmwq,H1_OxygenSat,-7.51m,1613673000,7.7000,%
NERRS_sfbfmwq,H1_pH,-7.51m,1613673000,32.9000,
NERRS_sfbfmwq,H1_Salinity,-7.51m,1613673000,4.4000,PSU
NERRS_sfbfmwq,H1_Turbidity,-7.51m,1613673000,72.0000,NTU
NERRS_sfbfmwq,H1_WaterDepth,-7.51m,1613673000,24.6391084,ft
NERRS_sfbfmwq,H1_WaterTemp,-7.51m,1613673000,52.16,°F
NERRS_sfbgcwq,H1_Conductiv,-5.70m,1633300200,1.9300,mS/cm
NERRS_sfbgcwq,H1_Oxygen,-5.70m,1633300200,1.2000,mg/L
NERRS_sfbgcwq,H1_OxygenSat,-5.70m,1633300200,26.6000,%
NERRS_sfbgcwq,H1_pH,-5.70m,1633300200,29.2000,
NERRS_sfbgcwq,H1_Salinity,-5.70m,1633300200,73.7000,PSU
NERRS_sfbgcwq,H1_Turbidity,-5.70m,1633300200,45.0000,NTU
NERRS_sfbgcwq,H1_WaterDepth,-5.70m,1633300200,18.700788,ft
NERRS_sfbgcwq,H1_WaterTemp,-5.70m,1633300200,104.36,°F
NERRS_sfbsmwq,H1_Conductiv,-7.37m,1633300200,2.3900,mS/cm
NERRS_sfbsmwq,H1_Oxygen,-7.37m,1633300200,1.2000,mg/L
NERRS_sfbsmwq,H1_OxygenSat,-7.37m,1633300200,19.2000,%
NERRS_sfbsmwq,H1_pH,-7.37m,1633300200,6.7000,
NERRS_sfbsmwq,H1_Salinity,-7.37m,1633300200,84.5000,PSU
NERRS_sfbsmwq,H1_Turbidity,-7.37m,1633300200,12.0000,NTU
NERRS_sfbsmwq,H1_WaterDepth,-7.37m,1633300200,24.1797908,ft
NERRS_sfbsmwq,H1_WaterTemp,-7.37m,1633300200,51.08,°F
NERRS_soschwq,H1_Conductiv,-5.80m,1552094100,5.8000,mS/cm
NERRS_soschwq,H1_Oxygen,-5.80m,1552094100,0.9000,mg/L
NERRS_soschwq,H1_OxygenSat,-5.80m,1552094100,4.4000,%
NERRS_soschwq,H1_pH,-5.80m,1552094100,9.2000,
NERRS_soschwq,H1_Salinity,-5.80m,1552094100,9.3000,PSU
NERRS_soschwq,H1_Turbidity,-5.80m,1552094100,2.0000,NTU
NERRS_soschwq,H1_WaterDepth,-5.80m,1552094100,19.028872,ft
NERRS_soschwq,H1_WaterTemp,-17.06m,1552091400,42.08,°F
NERRS_sosvawq,H1_Conductiv,-2.65m,1608464700,41.8600,mS/cm
NERRS_sosvawq,H1_Oxygen,-2.65m,1608464700,9.2000,mg/L
NERRS_sosvawq,H1_OxygenSat,-2.65m,1608464700,97.5000,%
NERRS_sosvawq,H1_pH,-2.65m,1608464700,7.9000,
NERRS_sosvawq,H1_Salinity,-2.65m,1608464700,26.7000,PSU
NERRS_sosvawq,H1_Turbidity,-2.65m,1608464700,7.0000,NTU
NERRS_sosvawq,H1_WaterDepth,-2.65m,1608464700,8.694226,ft
NERRS_sosvawq,H1_WaterTemp,-2.65m,1608464700,50.54,°F
NERRS_soswiwq,H1_Conductiv,-1.02m,1633299300,39.8100,mS/cm
NERRS_soswiwq,H1_Oxygen,-1.02m,1633299300,7.3000,mg/L
NERRS_soswiwq,H1_OxygenSat,-1.02m,1633299300,85.0000,%
NERRS_soswiwq,H1_pH,-1.02m,1633299300,7.6000,
NERRS_soswiwq,H1_Salinity,-1.02m,1633299300,25.4000,PSU
NERRS_soswiwq,H1_Turbidity,-1.02m,1633299300,19.0000,NTU
NERRS_soswiwq,H1_WaterDepth,-1.02m,1633299300,3.3464568,ft
NERRS_soswiwq,H1_WaterTemp,-1.02m,1633299300,59.18,°F
NERRS_tjroswq,H1_Chlorophyll,0.71m,1513038600,5.3000,µg/L
NERRS_tjroswq,H1_Conductiv,0.93m,1633300200,54.8800,mS/cm
NERRS_tjroswq,H1_Oxygen,0.93m,1633300200,10.2000,mg/L
NERRS_tjroswq,H1_OxygenSat,0.93m,1633300200,145.3000,%
NERRS_tjroswq,H1_pH,0.93m,1633300200,8.0000,
NERRS_tjroswq,H1_Salinity,0.93m,1633300200,36.4000,PSU
NERRS_tjroswq,H1_Turbidity,0.93m,1633300200,4.0000,NTU
NERRS_tjroswq,H1_WaterLevel,0.93m,1633300200,3.0511812,ft
NERRS_tjroswq,H1_WaterTemp,0.93m,1633300200,72.5,°F
ORCA_Dabobbay,A1_AirTemp,2m,1365129869,49.64,°F
ORCA_Dabobbay,A1_BarPress,2m,1365129869,29.597998731,inHg
ORCA_Dabobbay,A1_CO2Air,2m,1632701820,419.2000,ppm
ORCA_Dabobbay,A1_DewTemp,2m,1365129869,32,°F
ORCA_Dabobbay,A1_SolarRad,2m,1365129869,0.0000,W/m²
ORCA_Dabobbay,A1_WindDir,2m,1365129869,148.9000,deg (from)
ORCA_Dabobbay,A1_WindGust,2m,1365129869,32.3000782104,knots
ORCA_Dabobbay,A1_WindSpeed,2m,1365129869,32.3000782104,knots
ORCA_Dabobbay,H1_Chlorophyll,-20m,1621020086,1.4875,µg/L
ORCA_Dabobbay,H1_Chlorophyll,-2m,1561662736,0.7566,µg/L
ORCA_Dabobbay,H1_CO2,-0.1m,1632701820,366.5000,ppm
ORCA_Dabobbay,H1_Oxygen,-20m,1621020086,5.3079,mg/L
ORCA_Dabobbay,H1_Oxygen,-2m,1561662736,8.9401,mg/L
ORCA_Dabobbay,H1_Oxygen,-95m,1474102852,3.3173,mg/L
ORCA_Dabobbay,H1_OxygenSat,-20m,1621020086,55.6297,%
ORCA_Dabobbay,H1_OxygenSat,-2m,1561662736,111.7512,%
ORCA_Dabobbay,H1_OxygenSat,-95m,1474102852,37.1394,%
ORCA_Dabobbay,H1_Salinity,-20m,1621020086,29.6052,PSU
ORCA_Dabobbay,H1_Salinity,-2m,1561662736,28.3730,PSU
ORCA_Dabobbay,H1_Salinity,-95m,1474102852,30.4793,PSU
ORCA_Dabobbay,H1_WaterDens,-20m,1621020086,22.8904,kg/m³
ORCA_Dabobbay,H1_WaterDens,-2m,1561662736,20.2233,kg/m³
ORCA_Dabobbay,H1_WaterDens,-95m,1474102852,23.5424,kg/m³
ORCA_Dabobbay,H1_WaterTemp,-20m,1621020086,48.28136,°F
ORCA_Dabobbay,H1_WaterTemp,-2m,1561662736,64.2551,°F
ORCA_Dabobbay,H1_WaterTemp,-95m,1474102852,53.28338,°F
ORCA_Twanoh,A1_AirTemp,2m,1334196688,50.54,°F
ORCA_Twanoh,A1_BarPress,2m,1334196688,29.586000692,inHg
ORCA_Twanoh,A1_CO2Air,2m,1620326820,419.0000,ppm
ORCA_Twanoh,A1_DewTemp,2m,1334196688,32,°F
ORCA_Twanoh,A1_SolarRad,2m,1334196688,133.3000,W/m²
ORCA_Twanoh,A1_WindDir,2m,1334196688,0.0000,deg (from)
ORCA_Twanoh,A1_WindGust,2m,1334196688,0,knots
ORCA_Twanoh,A1_WindSpeed,2m,1334196688,0,knots
ORCA_Twanoh,H1_Chlorophyll,-20m,1633288733,0.2027,µg/L
ORCA_Twanoh,H1_Chlorophyll,-25m,1633288794,0.1399,µg/L
ORCA_Twanoh,H1_Chlorophyll,-3m,1633288554,5.7091,µg/L
ORCA_Twanoh,H1_CO2,-0.1m,1620326820,281.1000,ppm
ORCA_Twanoh,H1_Conductiv,-20m,1633288733,3.3357,mS/cm
ORCA_Twanoh,H1_Conductiv,-25m,1633288794,3.3583,mS/cm
ORCA_Twanoh,H1_Conductiv,-3m,1633288554,3.0547,mS/cm
ORCA_Twanoh,H1_Nitrate,-20m,1438183202,-550.0000,µmol/kg
ORCA_Twanoh,H1_Nitrate,-25m,1438183244,-550.0000,µmol/kg
ORCA_Twanoh,H1_Nitrate,-3m,1438183059,-550.0000,µmol/kg
ORCA_Twanoh,H1_Oxygen,-20m,1633288733,3.1008,mg/L
ORCA_Twanoh,H1_Oxygen,-25m,1633288794,3.8069,mg/L
ORCA_Twanoh,H1_Oxygen,-3m,1633288554,9.7767,mg/L
ORCA_Twanoh,H1_OxygenSat,-20m,1633288733,33.3782,%
ORCA_Twanoh,H1_OxygenSat,-25m,1633288794,41.1453,%
ORCA_Twanoh,H1_OxygenSat,-3m,1633288554,109.4068,%
ORCA_Twanoh,H1_PhotActiveRad,-20m,1299273142,2.9398,µE/m²*s
ORCA_Twanoh,H1_PhotActiveRad,-3m,1299272957,0.2021,µE/m²*s
ORCA_Twanoh,H1_Salinity,-20m,1633288733,30.1043,PSU
ORCA_Twanoh,H1_Salinity,-25m,1633288794,30.1948,PSU
ORCA_Twanoh,H1_Salinity,-3m,1633288554,24.9836,PSU
ORCA_Twanoh,H1_WaterDens,-20m,1633288733,23.1147,kg/m³
ORCA_Twanoh,H1_WaterDens,-25m,1633288794,23.1592,kg/m³
ORCA_Twanoh,H1_WaterDens,-3m,1633288554,18.5686,kg/m³
ORCA_Twanoh,H1_WaterTemp,-20m,1633288733,50.19404,°F
ORCA_Twanoh,H1_WaterTemp,-25m,1633288794,50.48078,°F
ORCA_Twanoh,H1_WaterTemp,-3m,1633288554,56.18138,°F
