,station_id,name,latitude,longitude,state,source,provider
41,PMELCO2_coastalms,Coastal Mississippi at Station CenGOOS-01 ,30.0,-88.6,STATE,IPACOA,PMEL-CO2
42,PMELCO2_crescent,Crescent Reef,32.4,-64.79,STATE,IPACOA,PMEL-CO2
43,PMELCO2_crimp,Coral Reef Instrumented Monitoring Platform 2,21.46,-157.8,Hawaii,IPACOA,PMEL-CO2
44,PMELCO2_firstlanding,CBIBS OA Buoy at First Landing,37.0,-76.1,Maryland,IPACOA,PMEL-CO2
45,PMELCO2_gakoa,Gulf of Alaska OA Mooring,59.85,-149.5,Alaska,IPACOA,PMEL-CO2
46,PMELCO2_kaneohe,Kaneohe Offshore HiOOS Observatory,21.48,-157.78,Hawaii,IPACOA,PMEL-CO2
47,PMELCO2_kilonalu,Kilo Nalu Offshore HiOOS Observatory,21.29,-157.87,Hawaii,IPACOA,PMEL-CO2
48,PMELCO2_kodiak,"Kodiak, Gulf of Alaska OA Mooring",57.7,-152.31,Alaska,IPACOA,PMEL-CO2
49,PMELCO2_laparguera,La Parguera Coral Reef OA Mooring,17.95,-67.05,Puerto Rico,IPACOA,PMEL-CO2
50,PMELCO2_m2,SE Bering Sea M2 OA Mooring,56.51,-164.04,Alaska,IPACOA,PMEL-CO2
51,PMELCO2_ndbcga,NDBC Mooring 41008 at Grays Reef National Marine Sanctuary,31.4,-80.87,STATE,IPACOA,PMEL-CO2
52,PMELCO2_nh,Gulf of Maine Mooring,43.02,-70.54,New Hampshire,IPACOA,PMEL-CO2
53,PMELCO2_papa,Ocean Station Papa ,50.13,-144.84,STATE,IPACOA,PMEL-CO2
54,PMELCO2_seak,"Port Conclusion, Gulf of Alaska OA Mooring",56.0,-134.0,Alaska,IPACOA,PMEL-CO2
55,PMELCO2_whots,WHOI Hawaii Ocean Time-series Station Mooring,22.67,-157.98,Hawaii,IPACOA,PMEL-CO2
56,PSI_Baycenter,"PCSGA - Bay Center Port mooring, Willapa Bay",46.629,-123.9516,Washington,IPACOA,PSI
57,PCS_Penncove1,"Penn Cove Shellfish, Coupeville - Whidbey Island",48.2191,-122.7048,Washington,IPACOA,PennCoveShellfish
58,CARLSBD_Aquafarm1,Agua Hedionda Lagoon - Carlsbad Aquafarm,33.1407,-117.3389,California,IPACOA,Carlsbad Aquafarm
59,KC_SEAQYSI,Seattle Aquarium Mooring - Elliott Bay,47.608,-122.3438,Washington,IPACOA,King County
60,STA_Sitka1,Sitka Tribe of Alaska Burke-o-Lator site - Sitka,57.0526,-135.3456,Alaska,IPACOA,STA
61,TAF_Dabobbay,"PCSGA - Taylor Shellfish Hatchery intakes, Dabob Bay",47.8199,-122.8215,Washington,IPACOA,TaylorShellfish
62,WCSH_Whiskey1,"PCSGA - Whiskey Creek Shellfish Hatchery, Netarts Bay",45.4214,-123.9362,Oregon,IPACOA,WhiskeyCrShelfish
63,cencoos_Carquinez,Carquinez,38.0657,-122.2302,California,IPACOA,CeNCOOS
64,cencoos_Humboldt,Humboldt,40.7775,-124.1965,California,IPACOA,CeNCOOS
65,cencoos_Tiburon,Tiburon,37.8915,-122.4467,California,IPACOA,CeNCOOS
66,cencoos_Trinidad,Trinidad,41.055,-124.147,California,IPACOA,CeNCOOS
67,DOCKTON,Dockton Park,47.37611,-122.45722,Washington,King County,King County
68,POINT_WILLIAMS,Point Williams,47.53716,-122.40612,Washington,King County,King County
69,QUARTER_MASTER_YC,Quarter Master Yacht Club,47.39394,-122.4635,Washington,King County,King County
70,SEATTLE_AQUARIUM,Seattle Aquarium Mooring - Elliott Bay,47.60786,-122.3436,Washington,King County,King County
