station_id,date_time,parameter,value,unit,depth,depth_unit
NERRS_sfbccwq,2021-10-15 00:45:00-07:00,H1_Salinity,35.9,PSU,-24,ft
NERRS_sfbccwq,2021-10-15 01:00:00-07:00,H1_Salinity,35.8,PSU,-24,ft
NERRS_sfbccwq,2021-10-15 01:15:00-07:00,H1_Salinity,35.6,PSU,-24,ft
NERRS_sfbccwq,2021-10-15 01:30:00-07:00,H1_Salinity,35.6,PSU,-24,ft
NERRS_sfbccwq,2021-10-15 01:45:00-07:00,H1_Salinity,35.4,PSU,-22,ft
NERRS_sfbccwq,2021-10-15 02:00:00-07:00,H1_Salinity,35.1,PSU,-21,ft
NERRS_sfbccwq,2021-10-15 02:15:00-07:00,H1_Salinity,34.9,PSU,-22,ft
NERRS_sfbccwq,2021-10-15 02:30:00-07:00,H1_Salinity,34.9,PSU,-21,ft
NERRS_sfbccwq,2021-10-15 02:45:00-07:00,H1_Salinity,35.0,PSU,-19,ft
NERRS_sfbccwq,2021-10-15 03:00:00-07:00,H1_Salinity,35.1,PSU,-17,ft
NERRS_sfbccwq,2021-10-15 03:15:00-07:00,H1_Salinity,35.1,PSU,-17,ft
NERRS_sfbccwq,2021-10-15 03:30:00-07:00,H1_Salinity,35.0,PSU,-17,ft
NERRS_sfbccwq,2021-10-15 03:45:00-07:00,H1_Salinity,34.9,PSU,-19,ft
NERRS_sfbccwq,2021-10-15 04:00:00-07:00,H1_Salinity,34.8,PSU,-18,ft
NERRS_sfbccwq,2021-10-15 04:15:00-07:00,H1_Salinity,34.5,PSU,-17,ft
NERRS_sfbccwq,2021-10-15 04:30:00-07:00,H1_Salinity,33.6,PSU,-22,ft
NERRS_sfbccwq,2021-10-15 04:45:00-07:00,H1_Salinity,34.0,PSU,-22,ft
NERRS_sfbccwq,2021-10-15 05:00:00-07:00,H1_Salinity,34.2,PSU,-23,ft
NERRS_sfbccwq,2021-10-15 05:15:00-07:00,H1_Salinity,34.7,PSU,-26,ft
NERRS_sfbccwq,2021-10-15 05:30:00-07:00,H1_Salinity,34.8,PSU,-25,ft
NERRS_sfbccwq,2021-10-15 05:45:00-07:00,H1_Salinity,35.0,PSU,-26,ft
NERRS_sfbccwq,2021-10-15 06:00:00-07:00,H1_Salinity,34.9,PSU,-26,ft
NERRS_sfbccwq,2021-10-15 06:15:00-07:00,H1_Salinity,34.9,PSU,-25,ft
NERRS_sfbccwq,2021-10-15 06:30:00-07:00,H1_Salinity,35.1,PSU,-26,ft
NERRS_sfbccwq,2021-10-15 06:45:00-07:00,H1_Salinity,34.9,PSU,-25,ft
NERRS_sfbccwq,2021-10-15 07:00:00-07:00,H1_Salinity,35.0,PSU,-25,ft
NERRS_sfbccwq,2021-10-15 07:15:00-07:00,H1_Salinity,35.1,PSU,-25,ft
NERRS_sfbccwq,2021-10-15 07:30:00-07:00,H1_Salinity,35.0,PSU,-24,ft
NERRS_sfbccwq,2021-10-15 07:45:00-07:00,H1_Salinity,35.0,PSU,-24,ft
NERRS_sfbccwq,2021-10-15 08:00:00-07:00,H1_Salinity,35.1,PSU,-24,ft
NERRS_sfbccwq,2021-10-15 08:15:00-07:00,H1_Salinity,35.2,PSU,-24,ft
