station_id,date_time,parameter,value,unit,depth,depth_unit
NERRS_soswiwq,2021-09-08 18:15:00-07:00,salinity,27.6,PSU,-3,ft
PMELCO2_crimp,2013-06-14 16:17:00-07:00,co2,342.6,ppm,-3,ft
PMELCO2_whots,2015-07-22 05:17:00-07:00,water_temperature,80.24,°F,-3,ft
PMELCO2_cce2,2012-06-14 23:17:00-07:00,co2,377.3,ppm,-3,ft
PMELCO2_cce2,2019-12-19 19:17:00-08:00,co2,424.4,ppm,-3,ft
PMELCO2_whots,2010-10-27 14:17:00-07:00,co2,387.4,ppm,-3,ft
KC_SEAQYSI,2021-09-20 18:15:00-07:00,pH,7.8,,-33,ft
PMELCO2_kilonalu,2008-07-12 17:17:00-07:00,co2,410.2,ppm,-3,ft
CARLSBD_Aquafarm1,2019-10-02 16:00:24-07:00,water_temperature,69.06722,°F,-15,ft
NERRS_elkapwq,2021-09-14 06:15:00-07:00,oxygen_saturation,-99.0,%,4,ft
NERRS_elkvmwq,2021-10-10 02:00:00-07:00,pH,7.9,,4,ft
NERRS_tjroswq,2021-10-14 16:15:00-07:00,oxygen_concentration,7.9,mg/L,5,ft
PMELCO2_crimp,2011-10-24 02:17:00-07:00,water_temperature,77.468,°F,-3,ft
PMELCO2_whots,2013-07-24 05:17:00-07:00,water_temperature,78.422,°F,-3,ft
PMELCO2_whots,2017-10-17 14:17:00-07:00,co2,404.8,ppm,-3,ft
PMELCO2_cce1,2011-09-12 08:17:00-07:00,salinity,32.67,PSU,-3,ft
NERRS_sfbgcwq,2021-10-14 14:15:00-07:00,oxygen_saturation,16.6,%,-24,ft
NERRS_elkvmwq,2021-10-21 20:30:00-07:00,water_temperature,60.26,°F,0,ft
PMELCO2_whots,2021-10-04 17:17:00-07:00,pH,8.051,,-3,ft
PMELCO2_cce1,2016-03-04 01:17:00-08:00,salinity,33.16,PSU,-3,ft
PMELCO2_cce2,2021-06-12 05:17:00-07:00,salinity,33.73,PSU,-3,ft
PMELCO2_crimp,2019-04-07 17:17:00-07:00,co2,526.8,ppm,-3,ft
PMELCO2_alawai,2009-06-27 17:17:00-07:00,water_temperature,78.548,°F,-3,ft
PMELCO2_cce2,2019-04-20 20:17:00-07:00,co2,398.2,ppm,-3,ft
NERRS_elkapwq,2021-09-12 02:45:00-07:00,water_temperature,67.28,°F,5,ft
NERRS_elksmwq,2021-10-05 16:30:00-07:00,salinity,32.7,PSU,2,ft
PMELCO2_alawai,2009-07-04 02:17:00-07:00,co2,410.0,ppm,-3,ft
PMELCO2_cce1,2018-10-03 05:17:00-07:00,water_temperature,65.534,°F,-3,ft
PMELCO2_alawai,2020-09-16 17:17:00-07:00,salinity,34.74,PSU,-3,ft
PMELCO2_cce1,2018-01-15 13:17:00-08:00,water_temperature,59.288,°F,-3,ft
PMELCO2_cce2,2011-06-20 20:17:00-07:00,water_temperature,55.562,°F,-3,ft
NERRS_soswiwq,2021-09-14 09:30:00-07:00,oxygen_concentration,4.9,mg/L,-4,ft
CARLSBD_Aquafarm1,2019-11-13 23:00:25-08:00,water_temperature,65.0858,°F,-15,ft
