platform_label,measurement_label,process
PMELCO2_gakoa,H1_WaterTemp,False
PMELCO2_kaneohe,A1_CO2Air,False
PMELCO2_kaneohe,H1_CO2,True
PMELCO2_kaneohe,H1_pH,True
PMELCO2_kaneohe,H1_Salinity,True
PMELCO2_kaneohe,H1_WaterTemp,True
PMELCO2_kilonalu,A1_CO2Air,False
PMELCO2_kilonalu,H1_CO2,True
PMELCO2_kilonalu,H1_Salinity,True
PMELCO2_kilonalu,H1_WaterTemp,True
PMELCO2_kodiak,A1_CO2Air,False
PMELCO2_kodiak,H1_CO2,False
PMELCO2_kodiak,H1_pH,False
PMELCO2_kodiak,H1_Salinity,False
PMELCO2_kodiak,H1_WaterTemp,False
PMELCO2_laparguera,A1_CO2Air,False
PMELCO2_laparguera,H1_CO2,False
PMELCO2_laparguera,H1_pH,False
PMELCO2_laparguera,H1_Salinity,False
PMELCO2_laparguera,H1_WaterTemp,False
PMELCO2_m2,A1_CO2Air,False
PMELCO2_m2,H1_CO2,False
PMELCO2_m2,H1_pH,False
PMELCO2_m2,H1_Salinity,False
PMELCO2_m2,H1_WaterTemp,False
PMELCO2_ndbcga,A1_CO2Air,False
PMELCO2_ndbcga,H1_CO2,False
PMELCO2_ndbcga,H1_pH,False
PMELCO2_ndbcga,H1_Salinity,False
PMELCO2_ndbcga,H1_WaterTemp,False
PMELCO2_nh,A1_CO2Air,False
PMELCO2_nh,H1_CO2,False
PMELCO2_nh,H1_pH,False
PMELCO2_nh,H1_Salinity,False
PMELCO2_nh,H1_WaterTemp,False
PMELCO2_papa,A1_CO2Air,False
PMELCO2_papa,H1_CO2,False
PMELCO2_papa,H1_pH,False
PMELCO2_papa,H1_Salinity,False
PMELCO2_papa,H1_WaterTemp,False
PMELCO2_seak,A1_CO2Air,False
PMELCO2_seak,H1_CO2,False
PMELCO2_seak,H1_pH,False
PMELCO2_seak,H1_Salinity,False
PMELCO2_seak,H1_WaterTemp,False
PMELCO2_whots,A1_CO2Air,False
PMELCO2_whots,H1_CO2,True
PMELCO2_whots,H1_pH,True
PMELCO2_whots,H1_Salinity,True
PMELCO2_whots,H1_WaterTemp,True
PSI_Baycenter,H1_AlkalinityTot,True
PSI_Baycenter,H1_OmegaAragSat,False
PSI_Baycenter,H1_Oxygen,True
PSI_Baycenter,H1_OxygenSat,True
PSI_Baycenter,H1_pH,True
PSI_Baycenter,H1_Salinity,True
PSI_Baycenter,H1_TCO2,True
PSI_Baycenter,H1_WaterTemp,True
PSI_Baycenter,H2_CO2,True
PSI_Baycenter,H2_Conductiv,False
PCS_Penncove1,H1_Chlorophyll,False
PCS_Penncove1,H1_Conductiv,False
PCS_Penncove1,H1_Oxygen,True
PCS_Penncove1,H1_OxygenSat,True
PCS_Penncove1,H1_pH,True
PCS_Penncove1,H1_Salinity,True
PCS_Penncove1,H1_WaterTemp,True
CARLSBD_Aquafarm1,H1_AlkalinityTot,True
CARLSBD_Aquafarm1,H1_OmegaAragSat,False
CARLSBD_Aquafarm1,H1_OxygenSat,True
CARLSBD_Aquafarm1,H1_pH,True
CARLSBD_Aquafarm1,H1_Pressure,True
CARLSBD_Aquafarm1,H1_Salinity,True
CARLSBD_Aquafarm1,H1_TCO2,True
CARLSBD_Aquafarm1,H1_WaterTemp,True
CARLSBD_Aquafarm1,H2_CO2,True
CARLSBD_Aquafarm1,H4_Oxygen,True
KC_SEAQYSI,A1_AirTemp,True
KC_SEAQYSI,A1_BarPress,True
KC_SEAQYSI,A1_PhotActiveRad,False
KC_SEAQYSI,A1_RelHumidity,False
KC_SEAQYSI,A1_WindDir,False
KC_SEAQYSI,A1_WindSpeed,False
KC_SEAQYSI,A2_Rain,False
KC_SEAQYSI,H1_Chlorophyll,False
KC_SEAQYSI,H1_CO2,True
KC_SEAQYSI,H1_Oxygen,True
KC_SEAQYSI,H1_OxygenSat,True
KC_SEAQYSI,H1_pH,True
KC_SEAQYSI,H1_Salinity,True
KC_SEAQYSI,H1_Turbidity,False
KC_SEAQYSI,H1_WaterTemp,True
STA_Sitka1,H1_AlkalinityTot,False
STA_Sitka1,H1_OmegaAragSat,False
STA_Sitka1,H1_OxygenSat,False
STA_Sitka1,H1_pH,False
STA_Sitka1,H1_Salinity,False
STA_Sitka1,H1_TCO2,False
STA_Sitka1,H1_WaterTemp,False
STA_Sitka1,H2_CO2,False
TAF_Dabobbay,H1_AlkalinityTot,True
TAF_Dabobbay,H1_OmegaAragSat,False
TAF_Dabobbay,H1_OxygenSat,True
TAF_Dabobbay,H1_pH,True
TAF_Dabobbay,H1_Salinity,True
TAF_Dabobbay,H1_TCO2,True
TAF_Dabobbay,H1_WaterTemp,True
TAF_Dabobbay,H2_CO2,True
WCSH_Whiskey1,H1_AlkalinityTot,True
WCSH_Whiskey1,H1_OmegaAragSat,False
WCSH_Whiskey1,H1_OxygenSat,True
WCSH_Whiskey1,H1_pH,True
WCSH_Whiskey1,H1_Salinity,True
WCSH_Whiskey1,H1_TCO2,True
WCSH_Whiskey1,H1_WaterTemp,True
WCSH_Whiskey1,H2_CO2,True
cencoos_Carquinez,H1_Chlorophyll,False
cencoos_Carquinez,H1_Conductiv,False
cencoos_Carquinez,H1_Oxygen,True
cencoos_Carquinez,H1_OxygenSat,True
cencoos_Carquinez,H1_pH,True
cencoos_Carquinez,H1_Pressure,True
cencoos_Carquinez,H1_Salinity,True
cencoos_Carquinez,H1_Turbidity,False
